timestamp,datetime_utc,open,high,low,close,volume
1689250740,2023-07-13 12:19:00,49886.0000000000000000,49979.0000000000000000,49886.0000000000000000,49891.0000000000000000,428.5200000000000000
1689250800,2023-07-13 12:20:00,49970.0000000000000000,49971.0000000000000000,49891.0000000000000000,49966.0000000000000000,905.4800000000000000
1689250860,2023-07-13 12:21:00,49892.0000000000000000,49992.0000000000000000,49891.0000000000000000,49894.0000000000000000,3837.2400000000000000
1689250920,2023-07-13 12:22:00,49892.0000000000000000,49967.0000000000000000,49891.0000000000000000,49967.0000000000000000,1168.0200000000000000
1689250980,2023-07-13 12:23:00,49981.0000000000000000,49982.0000000000000000,49969.0000000000000000,49969.0000000000000000,1119.5600000000000000
1689251040,2023-07-13 12:24:00,49902.0000000000000000,49980.0000000000000000,49901.0000000000000000,49971.0000000000000000,1400.2600000000000000
1689251100,2023-07-13 12:25:00,49902.0000000000000000,49982.0000000000000000,49902.0000000000000000,49982.0000000000000000,782.2400000000000000
1689251160,2023-07-13 12:26:00,49989.0000000000000000,49996.0000000000000000,49902.0000000000000000,49906.0000000000000000,6170.9000000000000000
1689251220,2023-07-13 12:27:00,49907.0000000000000000,49988.0000000000000000,49901.0000000000000000,49903.0000000000000000,739.4200000000000000
1689251280,2023-07-13 12:28:00,49987.0000000000000000,49988.0000000000000000,49969.0000000000000000,49986.0000000000000000,899.9800000000000000
1689251340,2023-07-13 12:29:00,49909.0000000000000000,49999.0000000000000000,49909.0000000000000000,49918.0000000000000000,516.3000000000000000
1689251400,2023-07-13 12:30:00,49992.0000000000000000,49993.0000000000000000,49921.0000000000000000,49992.0000000000000000,205.7400000000000000
1689251460,2023-07-13 12:31:00,49986.0000000000000000,49999.0000000000000000,49904.0000000000000000,49999.0000000000000000,889.2800000000000000
1689251520,2023-07-13 12:32:00,49905.0000000000000000,50000.0000000000000000,49905.0000000000000000,50000.0000000000000000,478.4600000000000000
1689251580,2023-07-13 12:33:00,50000.0000000000000000,50000.0000000000000000,49904.0000000000000000,49992.0000000000000000,482.2200000000000000
1689251640,2023-07-13 12:34:00,49992.0000000000000000,50000.0000000000000000,49992.0000000000000000,49992.0000000000000000,2422.3000000000000000
1689251700,2023-07-13 12:35:00,49992.0000000000000000,49998.0000000000000000,49906.0000000000000000,49906.0000000000000000,1895.5800000000000000
1689251760,2023-07-13 12:36:00,49904.0000000000000000,49904.0000000000000000,49904.0000000000000000,49904.0000000000000000,292.8000000000000000
1689251820,2023-07-13 12:37:00,49990.0000000000000000,49999.0000000000000000,49905.0000000000000000,49908.0000000000000000,1084.6400000000000000
1689251880,2023-07-13 12:38:00,49994.0000000000000000,49994.0000000000000000,49911.0000000000000000,49993.0000000000000000,507.3800000000000000
